"Name";"Source";"Size";"Type";"Alignment";"AC";"HP";"Speed";"Strength";"Dexterity";"Constitution";"Intelligence";"Wisdom";"Charisma";"Saving Throws";"Skills";"Damage Vulnerabilities";"Damage Resistances";"Damage Immunities";"Condition Immunities";"Senses";"Languages";"CR";"Traits";"Actions";"Bonus Actions";"Reactions";"Legendary Actions";"Mythic Actions";"Lair Actions";"Regional Effects";"Environment"
"Vampirate Mage";"BAM";"Medium";"Undead";"lawful evil";"14 (natural armor)";"68 (8d8 + 32)";"30 ft.";"12";"14";"18";"13";"14";"15";"Wis +5, Cha +5";"";"radiant";"";"cold, necrotic, poison";"charmed, exhaustion, poisoned";"darkvision 120 ft., passive Perception 12";"the languages it knew in life";"5 (1,800 XP)";" Explode. When the mage is reduced to 0 hit points, it explodes in a cloud of ash. Any creature within 5 feet of it must succeed on a DC 14 Constitution saving throw or take 11 (2d10) necrotic damage. Spider Climb. The mage can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Unusual Nature. The mage doesn't require air or drink.";" Multiattack. The mage makes two Ray of Cold attacks. Energy Drain. Melee or Ranged Spell Attack: +5 to hit, reach 5 ft. or range 30 ft., one creature. Hit: 22 (4d10) necrotic damage. A Humanoid reduced to 0 hit points by this attack dies and instantly transforms into a free-willed shadow under the DM's control. Ray of Cold. Ranged Spell Attack: +5 to hit, range 120 ft., one target. Hit: 11 (2d8 + 2) cold damage. Spellcasting. The mage casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 13):At will: mage hand, message1/day: darkness, dimension door, fly, hypnotic pattern";"";"";"";"";"";"";""
"Vampire";"MM";"Medium";"Undead (Shapechanger)";"lawful evil";"16 (natural armor)";"144 (17d8 + 68)";"30 ft.";"18";"18";"18";"17";"15";"18";"Dex +9, Wis +7, Cha +9";"Perception +7, Stealth +9";"";"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks";"";"";"darkvision 120 ft., passive Perception 17";"the languages it knew in life";"13 (10,000 XP)";" Shapechanger. If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight. Legendary Resistance (3/Day). If the vampire fails a saving throw, it can choose to succeed instead. Misty Escape. When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed.While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point. Regeneration. The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn. Spider Climb. The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Vampire Weaknesses. The vampire has the following flaws:Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.Stake to the Heart. If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.";" Multiattack (Vampire Form Only). The vampire makes two attacks, only one of which can be a bite attack. Unarmed Strike (Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18). Bite (Bat or Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control. Charm. The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bite attack.Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect. Children of the Night (1/Day). The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.";"";"";" Move. The vampire moves up to its speed without provoking opportunity attacks. Unarmed Strike. The vampire makes one unarmed strike. Bite (Costs 2 Actions). The vampire makes one bite attack.";"";"";"The region surrounding a vampire's lair is warped by the creature's unnatural presence, creating any of the following effects:There's a noticeable increase in the populations of bats, rats, and wolves in the region.Plants within 500 feet of the lair wither, and their stems and branches become twisted and thorny.Shadows cast within 500 feet of the lair seem abnormally gaunt and sometimes move as though alive.A creeping fog clings to the ground within 500 feet of the vampire's lair. The fog occasionally takes eerie forms, such as grasping claws and writhing serpents.If the vampire is destroyed, these effects end after 2d6 days.";"Urban"
"Vampire Spawn";"MM";"Medium";"Undead";"neutral evil";"15 (natural armor)";"82 (11d8 + 33)";"30 ft.";"16";"16";"16";"11";"10";"12";"Dex +6, Wis +3";"Perception +3, Stealth +6";"";"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks";"";"";"darkvision 60 ft., passive Perception 13";"the languages it knew in life";"5 (1,800 XP)";" Regeneration. The vampire regains 10 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn. Spider Climb. The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Vampire Weaknesses. The vampire has the following flaws:Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.Harmed by Running Water. The vampire takes 20 acid damage when it ends its turn in running water.Stake to the Heart. The vampire is destroyed if a piercing weapon made of wood is driven into its heart while it is incapacitated in its resting place.Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.";" Multiattack. The vampire makes two attacks, only one of which can be a bite attack. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 6 (1d6 + 3) piercing damage plus 7 (2d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 8 (2d4 + 3) slashing damage. Instead of dealing damage, the vampire can grapple the target (escape DC 13).";"";"";"";"";"";"";"Underdark, Urban"
"Vampire Spellcaster";"MM";"Medium";"Undead (Shapechanger)";"lawful evil";"16 (natural armor)";"144 (17d8 + 68)";"30 ft.";"18";"18";"18";"17";"15";"18";"Dex +9, Wis +7, Cha +9";"Perception +7, Stealth +9";"";"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks";"";"";"darkvision 120 ft., passive Perception 17";"the languages it knew in life";"15 (13,000 XP)";" Shapechanger. If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight. Legendary Resistance (3/Day). If the vampire fails a saving throw, it can choose to succeed instead. Misty Escape. When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed.While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point. Regeneration. The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn. Spellcasting. The vampire is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The vampire has the following wizard spells prepared:Cantrips (at will): mage hand, prestidigitation, ray of frost1st level (4 slots): comprehend languages, fog cloud, sleep2nd level (3 slots): detect thoughts, gust of wind, mirror image3rd level (3 slots): animate dead, bestow curse, nondetection4th level (3 slots): blight, greater invisibility5th level (1 slot): dominate person Spider Climb. The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Vampire Weaknesses. The vampire has the following flaws:Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.Stake to the Heart. If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.";" Multiattack (Vampire Form Only). The vampire makes two attacks, only one of which can be a bite attack. Unarmed Strike (Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18). Bite (Bat or Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control. Charm. The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bite attack.Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect. Children of the Night (1/Day). The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.";"";"";" Move. The vampire moves up to its speed without provoking opportunity attacks. Unarmed Strike. The vampire makes one unarmed strike. Bite (Costs 2 Actions). The vampire makes one bite attack.";"";"";"The region surrounding a vampire's lair is warped by the creature's unnatural presence, creating any of the following effects:There's a noticeable increase in the populations of bats, rats, and wolves in the region.Plants within 500 feet of the lair wither, and their stems and branches become twisted and thorny.Shadows cast within 500 feet of the lair seem abnormally gaunt and sometimes move as though alive.A creeping fog clings to the ground within 500 feet of the vampire's lair. The fog occasionally takes eerie forms, such as grasping claws and writhing serpents.If the vampire is destroyed, these effects end after 2d6 days.";"Urban"
"Vampire Warrior";"MM";"Medium";"Undead (Shapechanger)";"lawful evil";"18 (plate armor)";"144 (17d8 + 68)";"30 ft.";"18";"18";"18";"17";"15";"18";"Dex +9, Wis +7, Cha +9";"Perception +7, Stealth +9";"";"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks";"";"";"darkvision 120 ft., passive Perception 17";"the languages it knew in life";"15 (13,000 XP)";" Shapechanger. If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight. Legendary Resistance (3/Day). If the vampire fails a saving throw, it can choose to succeed instead. Misty Escape. When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed.While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point. Regeneration. The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn. Spider Climb. The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Vampire Weaknesses. The vampire has the following flaws:Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.Stake to the Heart. If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.";" Multiattack. The vampire makes two greatsword attacks. Multiattack (Vampire Form Only). The vampire makes two attacks, only one of which can be a bite attack. Unarmed Strike (Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18). Greatsword. Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 11 (2d6 + 4) slashing damage. Bite (Bat or Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control. Charm. The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bite attack.Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect. Children of the Night (1/Day). The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.";"";"";" Move. The vampire moves up to its speed without provoking opportunity attacks. Unarmed Strike. The vampire makes one unarmed strike. Bite (Costs 2 Actions). The vampire makes one bite attack.";"";"";"The region surrounding a vampire's lair is warped by the creature's unnatural presence, creating any of the following effects:There's a noticeable increase in the populations of bats, rats, and wolves in the region.Plants within 500 feet of the lair wither, and their stems and branches become twisted and thorny.Shadows cast within 500 feet of the lair seem abnormally gaunt and sometimes move as though alive.A creeping fog clings to the ground within 500 feet of the vampire's lair. The fog occasionally takes eerie forms, such as grasping claws and writhing serpents.If the vampire is destroyed, these effects end after 2d6 days.";"Urban"
"Vampiric Mind Flayer";"VRGR";"Medium";"Undead";"";"15 (natural armor)";"85 (10d8 + 40)";"30 ft., climb 30 ft.";"18";"18";"18";"5";"15";"18";"Dex +7, Int +0, Wis +5, Cha +7";"Perception +5, Stealth +7";"";"necrotic, psychic";"";"charmed, exhaustion, frightened";"darkvision 120 ft., passive Perception 15";"telepathy 120 ft. but can only project emotions";"5 (1,800 XP)";" Spider Climb. The mind flayer can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Sunlight Sensitivity. While in sunlight, the mind flayer has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. Unusual Nature. The mind flayer doesn't require air, food, or sleep.";" Multiattack. The mind flayer makes two Claw attacks or one Claw attack and one Tentacles attack. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage plus 10 (3d6) necrotic damage. Tentacles. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 7 (1d6 + 4) piercing damage, and if the target is a creature, it is grappled (escape DC 15). Drink Sapience. The mind flayer targets one creature it is grappling. The target must succeed on a DC 15 Wisdom saving throw or take 14 (4d6) psychic damage and gain 1 level of exhaustion. The mind flayer regains a number of hit points equal to the psychic damage dealt. A creature reduced to 0 hit points by the psychic damage dies.";" Disrupt Psyche (Recharge 5–6). The mind flayer magically emits psionic energy in a 30-foot-radius sphere centered on itself. Each creature in that area must succeed on a DC 15 Intelligence saving throw or be incapacitated for 1 minute. The incapacitated creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.";"";"";"";"";"";""
"Vampiric Mist";"MPMM";"Medium";"Undead";"chaotic evil";"13";"30 (4d8 + 12)";"0 ft., fly 30 ft. (hover)";"6";"16";"16";"6";"12";"7";"Wis +3";"";"";"acid, cold, lightning, necrotic, thunder; bludgeoning, piercing, and slashing from nonmagical attacks";"poison";"charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained";"darkvision 60 ft., passive Perception 11";"—";"3 (700 XP)";" Forbiddance. The mist can't enter a residence without an invitation from one of the occupants. Life Sense. The mist can sense the location of any creature within 60 feet of it, unless that creature's type is Construct or Undead. Misty Form. The mist can occupy another creature's space and vice versa. In addition, if air can pass through a space, the mist can pass through it without squeezing. Each foot of movement in water costs it 2 extra feet, rather than 1 extra foot. The mist can't manipulate objects in any way that requires fingers or manual dexterity. Sunlight Hypersensitivity. The mist takes 10 radiant damage whenever it starts its turn in sunlight. While in sunlight, the mist has disadvantage on attack rolls and ability checks. Unusual Nature. The mist doesn't require air or sleep.";" Life Drain. The mist touches one creature in its space. The target must succeed on a DC 13 Constitution saving throw (Undead and Constructs automatically succeed), or it takes 10 (2d6 + 3) necrotic damage, the mist regains 10 hit points, and the target's hit point maximum is reduced by an amount equal to the necrotic damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.";"";"";"";"";"";"";"Arctic, Coastal, Forest, Grassland, Mountain, Swamp, Underdark, Urban"
"Vampiric Mist";"MTF";"Medium";"Undead";"chaotic evil";"13";"30 (4d8 + 12)";"0 ft., fly 30 ft. (hover)";"6";"16";"16";"6";"12";"7";"Wis +3";"";"";"acid, cold, lightning, necrotic, thunder; bludgeoning, piercing, and slashing from nonmagical attacks";"poison";"charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained";"darkvision 60 ft., passive Perception 11";"—";"3 (700 XP)";" Forbiddance. The mist can't enter a residence without an invitation from one of the occupants. Life Sense. The mist can sense the location of any creature within 60 feet of it, unless that creature's type is construct or undead. Misty Form. The mist can occupy another creature's space and vice versa. In addition, if air can pass through a space, the mist can pass through it without squeezing. Each foot of movement in water costs it 2 extra feet, rather than 1 extra foot. The mist can't manipulate objects in any way that requires fingers or manual dexterity. Sunlight Hypersensitivity. The mist takes 10 radiant damage whenever it starts its turn in sunlight. While in sunlight, the mist has disadvantage on attack rolls and ability checks.";" Life Drain. The mist touches one creature in its space. The target must succeed on a DC 13 Constitution saving throw (undead and constructs automatically succeed), or it takes 10 (2d6 + 3) necrotic damage, the mist regains 10 hit points, and the target's hit point maximum is reduced by an amount equal to the necrotic damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.";"";"";"";"";"";"";"Arctic, Coastal, Forest, Grassland, Mountain, Swamp, Underdark, Urban"
"Vargouille";"MPMM";"Tiny";"Fiend";"chaotic evil";"12";"18 (4d4 + 8)";"5 ft., fly 40 ft.";"6";"14";"14";"4";"7";"2";"";"";"";"cold, fire, lightning";"poison";"poisoned";"darkvision 60 ft., passive Perception 8";"understands Abyssal, Infernal, and any languages it knew before becoming a vargouille but can't speak";"1 (200 XP)";"";" Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage plus 10 (3d6) poison damage. Abyssal Curse. The vargouille targets one incapacitated Humanoid within 5 feet of it. The target must succeed on a DC 12 Charisma saving throw or become cursed. The cursed target loses 1 point of Charisma after each hour, as its head takes on fiendish aspects. The curse doesn't advance while the target is in sunlight or the area of a daylight spell; don't count that time. When the cursed target's Charisma becomes 2, it dies, and its head tears from its body and becomes a new vargouille. Casting remove curse, greater restoration, or a similar spell on the target before the transformation is complete can end the curse. Doing so undoes the changes made to the target by the curse. Stunning Shriek (Recharge 5–6). The vargouille shrieks. Each Humanoid and Beast within 30 feet of the vargouille and able to hear it must succeed on a DC 12 Wisdom saving throw or be frightened of the vargouille until the end of the vargouille's next turn. While frightened in this way, a target is stunned. If a target's saving throw is successful or the effect ends for it, the target is immune to the Stunning Shriek of all vargouilles for 1 hour.";"";"";"";"";"";"";"Desert, Swamp, Underdark"
"Vargouille";"VGM";"Tiny";"Fiend";"chaotic evil";"12";"13 (3d4 + 6)";"5 ft., fly 40 ft.";"6";"14";"14";"4";"7";"2";"";"";"";"cold, fire, lightning";"poison";"poisoned";"darkvision 60 ft., passive Perception 8";"understands Abyssal, Infernal, and any languages it knew before becoming a vargouille but can't speak";"1 (200 XP)";"";" Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage plus 10 (3d6) poison damage. Kiss. The vargouille kisses one incapacitated humanoid within 5 feet of it. The target must succeed on a DC 12 Charisma saving throw or become cursed. The cursed target loses 1 point of Charisma after each hour, as its head takes on fiendish aspects. The curse doesn't advance while the target is in sunlight or the area of a daylight spell; don't count that time. When the cursed target's Charisma becomes 2, it dies, and its head tears from its body and becomes a new vargouille. Casting remove curse, greater restoration, or a similar spell on the target before the transformation is complete can end the curse. Doing so undoes the changes made to the target by the curse. Stunning Shriek. The vargouille shrieks. Each humanoid and beast within 30 feet of the vargouille and able to hear it must succeed on a DC 12 Wisdom saving throw or be frightened until the end of the vargouille's next turn. While frightened in this way, a target is stunned. If a target's saving throw is successful or the effect ends for it, the target is immune to the Stunning Shriek of all vargouilles for 1 hour.";"";"";"";"";"";"";"Desert, Swamp, Underdark"
"Vegepygmy";"MPMM";"Small";"Plant";"neutral";"13 (natural armor)";"13 (3d6 + 3)";"30 ft.";"7";"14";"13";"6";"11";"7";"";"Perception +2, Stealth +4";"";"lightning, piercing";"";"";"darkvision 60 ft., passive Perception 12";"Vegepygmy";"1/4 (50 XP)";" Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation. Regeneration. The vegepygmy regains 3 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate.";" Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.";"";"";"";"";"";"";"Forest, Swamp"
"Vegepygmy";"VGM";"Small";"Plant";"neutral";"13 (natural armor)";"9 (2d6 + 2)";"30 ft.";"7";"14";"13";"6";"11";"7";"";"Perception +2, Stealth +4";"";"lightning, piercing";"";"";"darkvision 60 ft., passive Perception 12";"Vegepygmy";"1/4 (50 XP)";" Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring plant life. Regeneration. The vegepygmy regains 3 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate.";" Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.";"";"";"";"";"";"";"Forest, Swamp"
"Vegepygmy Chief";"MPMM";"Small";"Plant";"neutral";"14 (natural armor)";"33 (6d6 + 12)";"30 ft.";"14";"14";"14";"7";"12";"9";"";"Perception +3, Stealth +4";"";"lightning, piercing";"";"";"darkvision 60 ft., passive Perception 13";"Vegepygmy";"2 (450 XP)";" Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation. Regeneration. The vegepygmy regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate.";" Multiattack. The vegepygmy makes two Claw attacks or two melee Spear attacks. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack. Spores (1/Day). A 15-foot-radius cloud of toxic spores extends out from the vegepygmy. The spores spread around corners. Each creature in that area that isn't a Plant must succeed on a DC 12 Constitution saving throw or be poisoned. While poisoned in this way, a target takes 9 (2d8) poison damage at the start of each of its turns. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.";"";"";"";"";"";"";"Forest, Swamp"
